Date,Description,Card Member,Account #,Amount,Additional Information
03/30/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,13.67,
03/31/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,30.03,
03/31/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,13.59,
04/01/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,13.06,
04/01/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,13.25,
04/02/2026,CINEPLEX #8901 TORONTO ON,SANTOSH KOLAGATI,-51004,39.03,
04/02/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,37.59,
04/04/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,55.61,
04/06/2026,CINEPLEX #8901 TORONTO ON,SANTOSH KOLAGATI,-51004,27.57,
04/06/2026,LCBO/RAO #219 TORONTO ON,SANTOSH KOLAGATI,-51004,78.49,
04/06/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,133.50,
04/07/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,79.53,
04/07/2026,NETFLIX.COM 866-579-7172,SANTOSH KOLAGATI,-51004,20.99,
04/08/2026,PAYMENT RECEIVED - THANK YOU,SANTOSH KOLAGATI,-51004,-1970.53,
04/09/2026,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,102.14,
04/10/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,12.66,
04/11/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,116.63,
04/13/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,35.66,
04/13/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,185.21,
04/13/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,23.57,
04/14/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,55.38,
04/15/2026,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,76.37,
04/15/2026,GOODLIFE FITNESS TORONTO ON,SANTOSH KOLAGATI,-51004,56.49,
04/15/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,88.90,
04/15/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,44.27,
04/16/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,31.32,
04/19/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,11.99,
04/20/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,38.79,
04/21/2026,LCBO/RAO #219 TORONTO ON,SANTOSH KOLAGATI,-51004,71.09,
04/24/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,5.79,
04/24/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,17.74,
04/24/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,19.45,
04/25/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,40.57,
04/26/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,70.19,
04/27/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,11.14,
04/28/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,83.36,
04/28/2026,PAI NORTHERN THAI TORONTO ON,SANTOSH KOLAGATI,-51004,78.03,
04/29/2026,NETFLIX.COM 866-579-7172,SANTOSH KOLAGATI,-51004,20.99,
04/29/2026,SHOPPERS DRUG MART #1290 TORONTO ON,SANTOSH KOLAGATI,-51004,40.85,
04/30/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,133.33,
05/01/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,36.61,
05/02/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,69.65,
05/03/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,122.51,
05/04/2026,LCBO/RAO #219 TORONTO ON,SANTOSH KOLAGATI,-51004,57.63,
05/05/2026,SHOPPERS DRUG MART #1290 TORONTO ON,SANTOSH KOLAGATI,-51004,22.82,
05/06/2026,PAYMENT RECEIVED - THANK YOU,SANTOSH KOLAGATI,-51004,-1886.53,
05/06/2026,SHOPPERS DRUG MART #1290 TORONTO ON,SANTOSH KOLAGATI,-51004,26.86,
05/07/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,12.75,
05/08/2026,APPLE.COM/BILL ITUNES.COM ON,SANTOSH KOLAGATI,-51004,9.96,
05/08/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,38.85,
05/08/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,6.49,
05/09/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,11.31,
05/10/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,6.76,
05/11/2026,SPOTIFY P0A4B TORONTO ON,SANTOSH KOLAGATI,-51004,11.99,
05/12/2026,CINEPLEX #8901 TORONTO ON,SANTOSH KOLAGATI,-51004,17.18,
05/12/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,43.63,
05/13/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,28.32,
05/14/2026,GOODLIFE FITNESS TORONTO ON,SANTOSH KOLAGATI,-51004,56.49,
05/15/2026,SPOTIFY P0A4B TORONTO ON,SANTOSH KOLAGATI,-51004,11.99,
05/16/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,57.42,
05/16/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,33.35,
05/18/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,13.32,
05/19/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,10.38,
05/20/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,103.32,
05/21/2026,NETFLIX.COM 866-579-7172,SANTOSH KOLAGATI,-51004,20.99,
05/21/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,36.61,
05/24/2026,LCBO/RAO #219 TORONTO ON,SANTOSH KOLAGATI,-51004,74.99,
05/24/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,87.04,
05/24/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,13.74,
05/24/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,43.88,
05/25/2026,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,78.64,
05/26/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,66.76,
05/26/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,70.95,
05/26/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,158.45,
05/27/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,61.44,
05/28/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,142.51,
05/29/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,129.66,
05/29/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,55.90,
05/30/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,35.38,
06/01/2026,PAI NORTHERN THAI TORONTO ON,SANTOSH KOLAGATI,-51004,113.35,
06/02/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,15.25,
06/05/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,89.64,
06/06/2026,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,87.12,
06/06/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,148.51,
06/06/2026,PAYMENT RECEIVED - THANK YOU,SANTOSH KOLAGATI,-51004,-1543.07,
06/07/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,34.69,
06/07/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,14.21,
06/09/2026,SHOPPERS DRUG MART #1290 TORONTO ON,SANTOSH KOLAGATI,-51004,18.98,
06/10/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,25.39,
06/11/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,74.65,
06/13/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,64.17,
06/13/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,9.46,
06/14/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,62.81,
06/15/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,5.72,
06/15/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,12.14,
06/16/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,37.58,
06/17/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,6.17,
06/17/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,62.38,
06/18/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,21.55,
06/20/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,64.43,
06/22/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,8.88,
06/22/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,26.44,
06/24/2026,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,105.08,
06/24/2026,SPOTIFY P0A4B TORONTO ON,SANTOSH KOLAGATI,-51004,11.99,
06/25/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,96.94,
06/25/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,12.20,
06/27/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,43.64,
06/27/2026,GOODLIFE FITNESS TORONTO ON,SANTOSH KOLAGATI,-51004,56.49,
06/28/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,147.18,
06/29/2026,PAI NORTHERN THAI TORONTO ON,SANTOSH KOLAGATI,-51004,54.37,
06/30/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,11.66,
07/01/2026,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,101.95,
07/03/2026,GOODLIFE FITNESS TORONTO ON,SANTOSH KOLAGATI,-51004,56.49,
07/03/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,174.24,
07/03/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,9.57,
07/04/2026,PAYMENT RECEIVED - THANK YOU,SANTOSH KOLAGATI,-51004,-1613.64,
07/05/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,107.29,
07/05/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,139.68,
07/09/2026,PAI NORTHERN THAI TORONTO ON,SANTOSH KOLAGATI,-51004,96.09,
07/09/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,8.54,
07/13/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,119.88,
07/13/2026,SHOPPERS DRUG MART #1290 TORONTO ON,SANTOSH KOLAGATI,-51004,32.23,
07/13/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,36.54,
07/14/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,112.42,
07/15/2026,NETFLIX.COM 866-579-7172,SANTOSH KOLAGATI,-51004,20.99,
07/20/2026,APPLE.COM/BILL ITUNES.COM ON,SANTOSH KOLAGATI,-51004,6.81,
07/20/2026,SHOPPERS DRUG MART #1290 TORONTO ON,SANTOSH KOLAGATI,-51004,51.40,
07/20/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,6.30,
07/21/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,11.46,
07/22/2026,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,88.54,
07/22/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,40.06,
07/23/2026,NETFLIX.COM 866-579-7172,SANTOSH KOLAGATI,-51004,20.99,
07/24/2026,LCBO/RAO #219 TORONTO ON,SANTOSH KOLAGATI,-51004,52.84,
07/24/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,18.85,
07/24/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,35.00,
07/27/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,14.56,
07/29/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,33.07,
07/29/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,52.83,
07/30/2026,PAI NORTHERN THAI TORONTO ON,SANTOSH KOLAGATI,-51004,85.36,
07/30/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,22.80,
07/31/2026,LCBO/RAO #219 TORONTO ON,SANTOSH KOLAGATI,-51004,50.26,
07/31/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,6.60,
